seq,value,oxy,,
266,9.306093,obs,,
267,9.320398,obs,,
268,9.308719,obs,,
269,9.31964,obs,,
270,9.318888,obs,,
271,9.314746,obs,,
272,9.333223,obs,,
273,9.321536,obs,,
274,9.331737,obs,,
275,9.342694,obs,,
276,9.326865,obs,,
277,9.330272,obs,,
278,9.348785,obs,,
279,9.35562,obs,,
280,9.328827,obs,,
281,9.347338,obs,,
282,9.350758,obs,,
283,9.357604,obs,,
284,9.356894,obs,,
285,9.337656,obs,,
286,9.344505,obs,,
287,9.363052,obs,,
288,9.369925,obs,,
1,9.423916,mod,,
2,9.428996,mod,,
3,9.433948,mod,,
4,9.438788,mod,,
5,9.443279,mod,,
6,9.447716,mod,,
7,9.451856,mod,,
8,9.455986,mod,,
9,9.459858,mod,,
10,9.463502,mod,,
11,9.4672,mod,,
12,9.470945,mod,,
13,9.474733,mod,,
14,9.478305,mod,,
15,9.481941,mod,,
16,9.485634,mod,,
17,9.489378,mod,,
18,9.492913,mod,,
19,9.496519,mod,,
20,9.500187,mod,,
21,9.503658,mod,,
22,9.507208,mod,,
23,9.510576,mod,,
24,9.514037,mod,,
25,9.51758,mod,,
26,9.521197,mod,,
27,9.524624,mod,,
28,9.528138,mod,,
29,9.531477,mod,,
30,9.534915,mod,,
31,9.538441,mod,,
32,9.542045,mod,,
33,9.545717,mod,,
34,9.549195,mod,,
35,9.552758,mod,,
36,9.556397,mod,,
37,9.560356,mod,,
38,9.564343,mod,,
39,9.568355,mod,,
40,9.572389,mod,,
41,9.576444,mod,,
42,9.580518,mod,,
43,9.584608,mod,,
44,9.588713,mod,,
45,9.592833,mod,,
46,9.596965,mod,,
47,9.60111,mod,,
48,9.605265,mod,,
49,9.609175,mod,,
50,9.613125,mod,,
51,9.617111,mod,,
52,9.621129,mod,,
53,9.625177,mod,,
54,9.629251,mod,,
55,9.63309,mod,,
56,9.636982,mod,,
57,9.640663,mod,,
58,9.644674,mod,,
59,9.648718,mod,,
60,9.652535,mod,,
61,9.656412,mod,,
62,9.660082,mod,,
63,9.663832,mod,,
64,9.667392,mod,,
65,9.671045,mod,,
66,9.674522,mod,,
67,9.678105,mod,,
68,9.681781,mod,,
69,9.685543,mod,,
70,9.689122,mod,,
71,9.692529,mod,,
72,9.695787,mod,,
73,9.699185,mod,,
74,9.702706,mod,,
75,9.706074,mod,,
76,9.709299,mod,,
77,9.712402,mod,,
78,9.715665,mod,,
79,9.718833,mod,,
80,9.722158,mod,,
81,9.725082,mod,,
82,9.727916,mod,,
83,9.730675,mod,,
84,9.733087,mod,,
85,9.735446,mod,,
86,9.737777,mod,,
87,9.740094,mod,,
88,9.742398,mod,,
89,9.744435,mod,,
90,9.746504,mod,,
91,9.748606,mod,,
92,9.75047,mod,,
93,9.75213,mod,,
94,9.753836,mod,,
95,9.755357,mod,,
96,9.756723,mod,,
97,9.758237,mod,,
98,9.759333,mod,,
99,9.760052,mod,,
100,9.760643,mod,,
101,9.761255,mod,,
102,9.761509,mod,,
103,9.761434,mod,,
104,9.761375,mod,,
105,9.761129,mod,,
106,9.760699,mod,,
107,9.759921,mod,,
108,9.75869,mod,,
109,9.757605,mod,,
110,9.756338,mod,,
111,9.755826,mod,,
112,9.755877,mod,,
113,9.754106,mod,,
114,9.752071,mod,,
115,9.748325,mod,,
116,9.744625,mod,,
117,9.74044,mod,,
118,9.736091,mod,,
119,9.732602,mod,,
120,9.729197,mod,,
121,9.729331,mod,,
122,9.729698,mod,,
123,9.724861,mod,,
124,9.71885,mod,,
125,9.719911,mod,,
126,9.720169,mod,,
127,9.711258,mod,,
128,9.698346,mod,,
129,9.685269,mod,,
130,9.672693,mod,,
131,9.663904,mod,,
132,9.653041,mod,,
133,9.64047,mod,,
134,9.627681,mod,,
135,9.615163,mod,,
136,9.602136,mod,,
137,9.589929,mod,,
138,9.577406,mod,,
139,9.565088,mod,,
140,9.554971,mod,,
141,9.543945,mod,,
142,9.532963,mod,,
143,9.521078,mod,,
144,9.510378,mod,,
145,9.502155,mod,,
146,9.489695,mod,,
147,9.477765,mod,,
148,9.465472,mod,,
149,9.453679,mod,,
150,9.442352,mod,,
151,9.428423,mod,,
152,9.41377,mod,,
153,9.398957,mod,,
154,9.384257,mod,,
155,9.369926,mod,,
156,9.356752,mod,,
157,9.343965,mod,,
158,9.33155,mod,,
159,9.319737,mod,,
160,9.310681,mod,,
161,9.304024,mod,,
162,9.297981,mod,,
163,9.291001,mod,,
164,9.280482,mod,,
165,9.272076,mod,,
166,9.264283,mod,,
167,9.256544,mod,,
168,9.248646,mod,,
169,9.239996,mod,,
170,9.231146,mod,,
171,9.222466,mod,,
172,9.216029,mod,,
173,9.210359,mod,,
174,9.203558,mod,,
175,9.192567,mod,,
176,9.181151,mod,,
177,9.170434,mod,,
178,9.161148,mod,,
179,9.149036,mod,,
180,9.137441,mod,,
181,9.125574,mod,,
182,9.116399,mod,,
183,9.108621,mod,,
184,9.101312,mod,,
185,9.094698,mod,,
186,9.088815,mod,,
187,9.083486,mod,,
188,9.080352,mod,,
189,9.07693,mod,,
190,9.072566,mod,,
191,9.069225,mod,,
192,9.066059,mod,,
193,9.063683,mod,,
194,9.062985,mod,,
195,9.062324,mod,,
196,9.06177,mod,,
197,9.061975,mod,,
198,9.062706,mod,,
199,9.06315,mod,,
200,9.063211,mod,,
201,9.063486,mod,,
202,9.063802,mod,,
203,9.063954,mod,,
204,9.064091,mod,,
205,9.064662,mod,,
206,9.064711,mod,,
207,9.065138,mod,,
208,9.067886,mod,,
209,9.068378,mod,,
210,9.069124,mod,,
211,9.070457,mod,,
212,9.072089,mod,,
213,9.073769,mod,,
214,9.075675,mod,,
215,9.077807,mod,,
216,9.080614,mod,,
217,9.083773,mod,,
218,9.087236,mod,,
219,9.091212,mod,,
220,9.095561,mod,,
221,9.10028,mod,,
222,9.105369,mod,,
223,9.110554,mod,,
224,9.116028,mod,,
225,9.121975,mod,,
226,9.127872,mod,,
227,9.134002,mod,,
228,9.140036,mod,,
229,9.146039,mod,,
230,9.15195,mod,,
231,9.158043,mod,,
232,9.164075,mod,,
233,9.170042,mod,,
234,9.176189,mod,,
235,9.182271,mod,,
236,9.188292,mod,,
237,9.194505,mod,,
238,9.200651,mod,,
239,9.206979,mod,,
240,9.213228,mod,,
241,9.219404,mod,,
242,9.22552,mod,,
243,9.23183,mod,,
244,9.238067,mod,,
245,9.24424,mod,,
246,9.250111,mod,,
247,9.255726,mod,,
248,9.261115,mod,,
249,9.266311,mod,,
250,9.271337,mod,,
251,9.276212,mod,,
252,9.280963,mod,,
253,9.2856,mod,,
254,9.289895,mod,,
255,9.294138,mod,,
256,9.298337,mod,,
257,9.302497,mod,,
258,9.306378,mod,,
259,9.310014,mod,,
260,9.313684,mod,,
261,9.317137,mod,,
262,9.320649,mod,,
263,9.324212,mod,,
264,9.327573,mod,,
265,9.331005,mod,,
266,9.334252,mod,,
267,9.337585,mod,,
268,9.340747,mod,,
269,9.343758,mod,,
270,9.346886,mod,,
271,9.349869,mod,,
272,9.352726,mod,,
273,9.355471,mod,,
274,9.358617,mod,,
275,9.361616,mod,,
276,9.364735,mod,,
277,9.367713,mod,,
278,9.370565,mod,,
279,9.373558,mod,,
280,9.376424,mod,,
281,9.379181,mod,,
282,9.381842,mod,,
283,9.384668,mod,,
284,9.387639,mod,,
285,9.390487,mod,,
286,9.393479,mod,,
287,9.396347,mod,,
288,9.399356,mod,,
